session_code,title,url,abstract,date_time,location,files,replay_url,speaker_name,speaker_title_org
,GTC 2025 Keynote [S72484],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1727280358874001CZff,"Don't miss this keynote from NVIDIA founder and CEO Jensen Huang. He'll share how NVIDIA's accelerated computing platform is driving the next wave in AI, digital twins, cloud technologies, and sustainable computing.",10:00 AM - 12:00 PM PDT,,,,Jensen Huang,Jensen Huang
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,Jensen Huang,Jensen Huang
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,Alan Baratz,Alan Baratz
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,Ben Bloom,Ben Bloom
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,John Levy,John Levy
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,Krysta Svore,Krysta Svore
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,Loïc Henriet,Loïc Henriet
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,Matthew Kinsella,Matthew Kinsella
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,Mikhail Lukin,Mikhail Lukin
,Quantum Computing: Where We Are and Where We’re Headed [S74495],https://register.nvidia.com/flow/nvidia/gtcs25/ap/page/catalog/session/1736991707221001VCoU,"Doors open at 9:00 a.m.  Session begins at 10:00 a.m.
NVIDIA founder and CEO Jensen Huang hosts industry leaders from Alice & Bob, Atom Computing, D-Wave, Infleqtion, IonQ, Pasqal, PsiQuantum, Quantinuum, Quantum Circuits, QuEra Computing, Rigetti and SEEQC to learn today's state of the art and what the future holds for useful quantum computing. These unprecedented fireside chats bring together the whole quantum computing community for an overview of this exciting technology.",9:00 AM - 12:00 PM PDT,,,,Pete Shadbolt,Pete Shadbolt
